date,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment,mobile SRBM system,vehicles and fuel tanks,cruise missiles,submarines
2022-02,93,88,526,2744,222,33,651.0,240.0,7,8,5,0.0,0.0,0.0,0.0,0.0
2022-03,2472,2913,12998,41083,5928,2123,23740.0,1986.0,774,115,1129,256.0,22.0,0.0,0.0,0.0
2022-04,4926,4331,23478,61343,11136,3749,43697.0,2280.0,4397,226,1896,799.0,120.0,0.0,0.0,0.0
2022-05,6237,5086,37713,91653,17371,5864,0.0,0.0,12856,376,2749,1305.0,0.0,64336.0,3107.0,0.0
2022-06,6412,5391,43604,105916,21822,6823,0.0,0.0,17638,403,2931,1670.0,0.0,74249.0,3893.0,0.0
2022-07,6800,5828,51821,119939,26277,7758,0.0,0.0,21419,465,3435,2146.0,0.0,85066.0,4984.0,0.0
2022-08,7145,6076,58007,128750,30960,8230,0.0,0.0,24476,465,4241,2868.0,0.0,95106.0,5837.0,0.0
2022-09,7428,6442,65436,139969,38386,9369,0.0,0.0,27511,450,4947,3577.0,0.0,105360.0,6802.0,0.0
2022-10,8324,7442,78491,161345,48678,11219,0.0,0.0,37836,484,5745,4404.0,0.0,122797.0,9439.0,0.0
2022-11,8336,7811,85201,172197,55137,11779,0.0,0.0,45297,480,6179,4786.0,0.0,129275.0,13522.0,0.0
2022-12,8729,8216,92174,184678,60505,12608,0.0,0.0,51055,496,6551,5322.0,0.0,141777.0,19078.0,0.0
2023-01,8898,8570,96573,192644,65343,13621,0.0,0.0,58242,527,6769,5852.0,0.0,151155.0,23090.0,0.0
2023-02,8309,8009,92146,182134,64252,13062,0.0,0.0,55972,504,6610,6076.0,0.0,144476.0,23574.0,0.0
2023-03,9423,8979,108623,211340,78590,15570,0.0,0.0,66508,558,8163,7976.0,0.0,167119.0,27847.0,0.0
2023-04,9218,8783,109693,212410,83754,16078,0.0,0.0,70672,540,8554,9726.0,0.0,170092.0,27372.0,0.0
2023-05,9576,9139,116516,227511,98356,17389,0.0,0.0,85064,558,9813,12701.0,0.0,187427.0,30739.0,0.0
2023-06,9416,9078,118445,230406,114395,18162,0.0,0.0,100163,540,10964,15578.0,0.0,195994.0,35906.0,0.0
2023-07,9765,9604,127630,248980,139570,21011,0.0,0.0,118072,558,13244,20425.0,0.0,218486.0,39962.0,0.0
2023-08,9765,9732,133870,260182,160007,22189,0.0,0.0,131569,558,14928,23909.0,0.0,236269.0,43083.0,0.0
2023-09,9450,9480,137720,264344,179281,23088,0.0,0.0,141474,584,15573,26645.0,0.0,254445.0,44300.0,17.0
2023-10,9851,9909,153732,291128,213511,25328,0.0,0.0,163336,620,16974,30320.0,0.0,287025.0,47550.0,31.0
2023-11,9675,9720,161681,303177,228763,26575,0.0,0.0,170809,640,17483,32396.0,0.0,300339.0,46803.0,30.0
2023-12,10080,10044,178147,331589,253102,28664,0.0,0.0,194011,688,18877,36985.0,0.0,334548.0,49734.0,31.0
2024-01,10233,10044,189971,352781,273362,29786,0.0,0.0,213742,713,20074,42403.0,0.0,364374.0,56092.0,31.0
2024-02,5979,5843,115133,215050,170202,17655,0.0,0.0,130710,435,12001,27091.0,0.0,225675.0,33674.0,18.0
